,regional_division,state
3,New England,Maine
4,New England,Massachusetts
5,New England,New Hampshire
6,New England,Rhode Island
7,New England,Vermont
9,Middle Atlantic,New Jersey
10,Middle Atlantic,New York
11,Middle Atlantic,Pennsylvania
14,East North Central,Illinois
15,East North Central,Indiana
16,East North Central,Michigan
17,East North Central,Ohio
18,East North Central,Wisconsin
20,West North Central,Iowa
21,West North Central,Kansas
22,West North Central,Minnesota
23,West North Central,Missouri
25,West North Central,North Dakota
26,West North Central,South Dakota
29,South Atlantic,Delaware
30,South Atlantic,Florida
31,South Atlantic,Georgia
32,South Atlantic,Maryland
33,South Atlantic,North Carolina
34,South Atlantic,South Carolina
35,South Atlantic,Virginia
36,South Atlantic,West Virginia
38,East South Central,Alabama
39,East South Central,Kentucky
40,East South Central,Mississippi
41,East South Central,Tennessee
43,West South Central,Arkansas
44,West South Central,Louisiana
45,West South Central,Oklahoma
46,West South Central,Texas
49,Mountain,Arizona
50,Mountain,Colorado
51,Mountain,Idaho
52,Mountain,Montana
53,Mountain,Nevada
54,Mountain,New Mexico
55,Mountain,Utah
56,Mountain,Wyoming
58,Pacific,Alaska
59,Pacific,California
60,Pacific,Hawaii
61,Pacific,Oregon
62,Pacific,Washington
